"id_plant","date","weight_kg","timing","estimated_weight_after","dryW_kg","phyto","treatment_co2","water_treatment","plant_in_pot","increment_g","day_incr","daily_transp","estimated_weight_before","daily_transp_est_20210506","daily_transp_est_20210603"
24,2021-05-31,6.0405,"1_before watering","no",4.64498,2,"ambient","drought","yes",408.5,7,58.3571428571429,"no",49.6666666666667,NA
24,2021-06-03,5.9415,"1_before watering","no",4.64498,2,"ambient","drought","yes",99.0000000000002,3,33.0000000000001,"no",49.6666666666667,NA
24,2021-06-08,5.847,"1_before watering","no",4.64498,2,"ambient","drought","yes",94.4999999999991,5,18.8999999999998,"no",49.6666666666667,NA
25,2021-04-30,6.7525,"2_after watering","no",4.26597,1,"elevated","drought","yes",NA,NA,NA,"no",NA,NA
25,2021-05-04,6.3835,"1_before watering","no",4.26597,1,"elevated","drought","yes",369.000000000001,4,92.2500000000002,"no",NA,NA
25,2021-05-04,6.729,"2_after watering","no",4.26597,1,"elevated","drought","yes",NA,NA,NA,"no",NA,NA
25,2021-05-07,6.425,"1_before watering","no",4.26597,1,"elevated","drought","yes",304,3,101.333333333333,"no",NA,NA
25,2021-05-07,6.791,"2_after watering","no",4.26597,1,"elevated","drought","yes",NA,NA,NA,"no",NA,NA
25,2021-05-10,6.5275,"1_before watering","no",4.26597,1,"elevated","drought","yes",263.500000000001,3,87.8333333333335,"no",NA,NA
25,2021-05-10,6.885,"2_after watering","no",4.26597,1,"elevated","drought","yes",NA,NA,NA,"no",NA,NA
25,2021-05-13,6.4515,"1_before watering","no",4.26597,1,"elevated","drought","yes",433.5,3,144.5,"no",NA,NA
25,2021-05-13,6.881,"2_after watering","no",4.26597,1,"elevated","drought","yes",NA,NA,NA,"no",NA,NA
25,2021-05-17,6.32,"1_before watering","no",4.26597,1,"elevated","drought","yes",561,4,140.25,"no",NA,NA
25,2021-05-20,5.881,"1_before watering","no",4.26597,1,"elevated","drought","yes",439,3,146.333333333333,"no",NA,NA
25,2021-05-24,5.656,"1_before watering","no",4.26597,1,"elevated","drought","yes",225.000000000001,4,56.2500000000001,"no",NA,NA
25,2021-05-27,5.5345,"1_before watering","no",4.26597,1,"elevated","drought","yes",121.499999999999,3,40.4999999999998,"no",NA,NA
25,2021-05-31,5.444,"1_before watering","no",4.26597,1,"elevated","drought","yes",90.5000000000005,4,22.6250000000001,"no",NA,NA
25,2021-06-03,5.389,"1_before watering","no",4.26597,1,"elevated","drought","yes",54.9999999999997,3,18.3333333333332,"no",NA,NA
28,2021-04-29,6.2355,"2_after watering","no",3.97424,2,"ambient","drought","yes",NA,NA,NA,"no",NA,NA
28,2021-05-03,5.89333333333333,"1_before watering","no",3.97424,2,"ambient","drought","yes",370.666666666667,4,NA,"yes",92.6666666666668,NA
