id_plant,date,weight_kg,timing,dryW_kg,phyto,treatment_co2,water_treatment,plant_in_pot
46,10/05/2021,6.596,1_before watering,4.03515,1,elevated,drought,yes
46,10/05/2021,6.736,2_after watering,4.03515,1,elevated,drought,yes
46,13/05/2021,6.587,1_before watering,4.03515,1,elevated,drought,yes
46,13/05/2021,6.707,2_after watering,4.03515,1,elevated,drought,yes
46,17/05/2021,6.555,1_before watering,4.03515,1,elevated,drought,yes
46,20/05/2021,6.3925,1_before watering,4.03515,1,elevated,drought,yes
46,24/05/2021,6.179,1_before watering,4.03515,1,elevated,drought,yes
46,27/05/2021,5.9785,1_before watering,4.03515,1,elevated,drought,yes
46,31/05/2021,5.7815,1_before watering,4.03515,1,elevated,drought,yes
46,03/06/2021,5.611,1_before watering,4.03515,1,elevated,drought,yes
46,09/06/2021,5.342,1_before watering,4.03515,1,elevated,drought,yes
50,30/04/2021,6.806,2_after watering,4.25281,1,elevated,drought,yes
50,04/05/2021,6.5435,1_before watering,4.25281,1,elevated,drought,yes
50,04/05/2021,6.8615,2_after watering,4.25281,1,elevated,drought,yes
50,07/05/2021,6.615,1_before watering,4.25281,1,elevated,drought,yes
50,07/05/2021,6.909,2_after watering,4.25281,1,elevated,drought,yes
50,10/05/2021,6.5675,1_before watering,4.25281,1,elevated,drought,yes
50,10/05/2021,6.9305,2_after watering,4.25281,1,elevated,drought,yes
50,13/05/2021,6.599,1_before watering,4.25281,1,elevated,drought,yes
50,13/05/2021,6.9165,2_after watering,4.25281,1,elevated,drought,yes
50,17/05/2021,6.5675,1_before watering,4.25281,1,elevated,drought,yes
50,20/05/2021,6.183,1_before watering,4.25281,1,elevated,drought,yes
50,24/05/2021,5.7945,1_before watering,4.25281,1,elevated,drought,yes
50,27/05/2021,5.552,1_before watering,4.25281,1,elevated,drought,yes
54,30/04/2021,6.37,2_after watering,4.0049,1,elevated,control,yes
54,04/05/2021,6.195,1_before watering,4.0049,1,elevated,control,yes
54,04/05/2021,6.3285,2_after watering,4.0049,1,elevated,control,yes
54,07/05/2021,6.0225,1_before watering,4.0049,1,elevated,control,yes
54,07/05/2021,6.388,2_after watering,4.0049,1,elevated,control,yes
54,10/05/2021,6.2295,1_before watering,4.0049,1,elevated,control,yes
54,10/05/2021,6.6025,2_after watering,4.0049,1,elevated,control,yes
54,13/05/2021,6.143,1_before watering,4.0049,1,elevated,control,yes
54,13/05/2021,6.525,2_after watering,4.0049,1,elevated,control,yes
54,17/05/2021,6.031,1_before watering,4.0049,1,elevated,control,yes
54,17/05/2021,6.403,2_after watering,4.0049,1,elevated,control,yes
54,20/05/2021,5.93,1_before watering,4.0049,1,elevated,control,yes
54,20/05/2021,6.3125,2_after watering,4.0049,1,elevated,control,yes
54,24/05/2021,5.86,1_before watering,4.0049,1,elevated,control,yes
54,24/05/2021,6.2105,2_after watering,4.0049,1,elevated,control,yes
54,27/05/2021,5.731,1_before watering,4.0049,1,elevated,control,yes
54,27/05/2021,6.117,2_after watering,4.0049,1,elevated,control,yes
54,31/05/2021,5.6395,1_before watering,4.0049,1,elevated,control,yes
54,31/05/2021,6.011,2_after watering,4.0049,1,elevated,control,yes
54,03/06/2021,5.643,1_before watering,4.0049,1,elevated,control,yes
54,03/06/2021,6.013,2_after watering,4.0049,1,elevated,control,yes
54,06/06/2021,NA,1_before watering,4.0049,1,elevated,control,yes
54,06/06/2021,NA,2_after watering,4.0049,1,elevated,control,yes
54,09/06/2021,5.66,1_before watering,4.0049,1,elevated,control,yes
54,09/06/2021,6.0335,2_after watering,4.0049,1,elevated,control,yes
54,10/06/2021,5.9665,1_before watering,4.0049,1,elevated,control,yes
61,30/04/2021,6.6935,2_after watering,4.01986,1,elevated,control,yes
61,04/05/2021,6.383,1_before watering,4.01986,1,elevated,control,yes
61,04/05/2021,6.704,2_after watering,4.01986,1,elevated,control,yes
61,07/05/2021,6.459,1_before watering,4.01986,1,elevated,control,yes
61,07/05/2021,6.767,2_after watering,4.01986,1,elevated,control,yes
61,10/05/2021,6.5135,1_before watering,4.01986,1,elevated,control,yes
61,10/05/2021,6.8145,2_after watering,4.01986,1,elevated,control,yes
61,13/05/2021,6.55,1_before watering,4.01986,1,elevated,control,yes
61,13/05/2021,6.795,2_after watering,4.01986,1,elevated,control,yes
61,17/05/2021,6.5565,1_before watering,4.01986,1,elevated,control,yes
61,17/05/2021,6.833,2_after watering,4.01986,1,elevated,control,yes
61,20/05/2021,6.5795,1_before watering,4.01986,1,elevated,control,yes
61,20/05/2021,6.4415,2_after watering,4.01986,1,elevated,control,yes
61,24/05/2021,6.543,1_before watering,4.01986,1,elevated,control,yes
61,24/05/2021,6.8325,2_after watering,4.01986,1,elevated,control,yes
61,27/05/2021,6.5165,1_before watering,4.01986,1,elevated,control,yes
61,27/05/2021,6.868,2_after watering,4.01986,1,elevated,control,yes
