"ID_plant","N_days_w","campaign","CO2","water_treatment","rwc","leafID","FW","SW","DW","diff","maxDiff","isMax"
112,21,4,"elevated","drought",0.949115044247788,"C",0.1685,0.1731,0.0827,0.00459999999999999,0.00570000000000001,"no"
114,1,5,"elevated","control",NA,"A",0.1203,NA,0.0565,NA,0.00499999999999999,NA
114,1,5,"elevated","control",0.92548435171386,"B",0.1223,0.1273,0.0602,0.00499999999999999,0.00499999999999999,"yes"
114,1,5,"elevated","control",0.897091722595078,"C",0.0818,0.0864,0.0417,0.00460000000000001,0.00499999999999999,"no"
116,28,5,"ambient","drought",0.92520325203252,"A",0.109,0.1136,0.0521,0.00460000000000001,0.0049,"no"
116,28,5,"ambient","drought",0.923828125,"B",0.0903,0.0942,0.043,0.0039,0.0049,"no"
116,28,5,"ambient","drought",0.910909090909091,"C",0.0936,0.0985,0.0435,0.0049,0.0049,"yes"
118,1,2,"elevated","control",0.946859903381642,"A",0.1798,0.1853,0.0818,0.0055,0.0105,"no"
118,1,2,"elevated","control",0.88268156424581,"B",0.1465,0.157,0.0675,0.0105,0.0105,"yes"
118,1,2,"elevated","control",0.978294573643411,"C",0.1164,0.1178,0.0533,0.0014,0.0105,"no"
119,1,3,"elevated","control",0.975247524752475,"A",0.1546,0.1566,0.0758,0.002,0.0076,"no"
119,1,3,"elevated","control",0.918629550321199,"B",0.1661,0.1737,0.0803,0.0076,0.0076,"yes"
119,1,3,"elevated","control",0.951470588235294,"C",0.128,0.1313,0.0633,0.0033,0.0076,"no"
120,1,3,"elevated","control",0.925061425061425,"A",0.1427,0.1488,0.0674,0.00609999999999999,0.00609999999999999,"yes"
120,1,3,"elevated","control",0.953592814371258,"B",0.1225,0.1256,0.0588,0.00309999999999999,0.00609999999999999,"no"
120,1,3,"elevated","control",0.921450151057402,"C",0.1147,0.1199,0.0537,0.00520000000000001,0.00609999999999999,"no"
