ID_plant,sampling_date,long_Shist,diam_Shist,long_Sphl,diam_Sphl,TW_plant_kg,FW_Sphl,FW_SNSC,FW_Shist,FW_L1phl,FW_L2phl,FW_L3phl,FW_10LNSC,FW_10LSLA,FW_rootNSC,FW_S,FW_L,FW_root,FW_ss_soil,FW_soil_pot_kg,SW_L1phl,SW_L2phl,SW_L3phl,DW_L1phl,DW_L2phl,DW_L3phl,DW_10LSLA,DW_S,DW_L,DW_root,DW_ss_soil,DW_soil,W_pot,OBS
102,20210526,9999,9999,11.78,0.94,6.6195,8.9421,3.2073,9999,0.535,0.1253,0.1539,0.8382,1.3433,4.4738,33.47,8.93,9999,243.21,9999,0.1565,0.1278,0.1566,0.0751,0.0593,0.0722,0.6543,17.01,3.85,9999,191.87,9999.0000,9999,nothing
103,20210518,1.1,1.2,7.85,1,6.966,6.7127,2.6074,1.2105,0.1385,0.0965,0.1148,1.2003,0.995,3.9462,37.43,8.11,9999,240.45,9999,0.145,0.1022,0.1182,0.0633,0.0442,0.0512,0.4616,17.97,3.47,9999,176.51,9999.0000,9999,nothing
104,20210527,9999,9999,9.27,1.24,6.2845,13.4739,3.0946,9999,0.1437,0.1202,0.1229,0.957,1.0207,2.9352,63.16,13.11,83.33,9999,6.0755,0.1457,0.1217,0.1238,0.0669,0.0568,0.0584,0.4988,30.24,6.25,23.82,9999,4848.69,246.2,nothing
106,20210519,0.6,1.53,6.33,1.06,6.000,9.2435,2.77,1.23,0.0993,0.1159,0.0877,0.8019,0.6737,4.5247,71.48,19.79,9999,311.62,9999,0.1035,0.1213,0.091,0.0433,0.0496,0.0368,0.2974,37.32,8.65,9999,232.55,9999.0000,9999,nothing
107,20210602,9999,9999,7.96,1.43,5.708,11.0281,3.1734,9999,0.1254,0.1202,0.103,0.6247,0.9737,15.0797,46.88,14.17,71.1,9999,5.532,0.1288,0.1228,0.106,0.0537,0.0526,0.045,0.4466,23.67,5.79,24.48,9999,4586.07,240.17,nothing
109,20210518,1.74,0.08,9.95,1.25,6.612,13.9943,1.6463,2.2411,0.1285,0.1322,0.1175,1.0403,0.9894,5.6619,46.43,20.43,9999,202.68,9999,0.1327,0.1332,0.1227,0.0592,0.0598,0.0532,0.4565,21.66,9.06,9999,146.88,9999.0000,9999,nothing
110,20210601,9999,9999,9.03,1.29,6.257,12.3236,4.424,9999,0.1727,0.1415,0.1593,1.3848,1.0973,3.4276,63.3,23.92,9999,265.67,9999,0.1767,0.1451,0.1641,0.0795,0.0656,0.0724,0.5211,30.52,10.71,9999,200.07,9999,9999,No hay muestra de suelo
111,20210601,9999,9999,7.95,1.12,7.1665,8.6401,4.0879,9999,0.1449,0.1181,0.1142,0.9072,1.0419,3.8391,46.44,12.73,53.7,9999,6.9425,0.1467,0.1185,0.1157,0.0718,0.0587,0.0562,0.5507,23.23,6.64,16.93,9999,4536.26,283.6,El día del muestreo destructivo tenía agua en el plato
112,20210603,9999,9999,7.83,1.48,5.6125,16.1761,8.3589,9999,0.1606,0.1903,0.1685,1.1878,1.0532,5.4779,95.93,26.96,88.87,9999,5.3565,0.1663,0.196,0.1731,0.0793,0.0911,0.0827,0.5251,49.79,13.07,38.33,9999,4286.81,243.83,nothing
114,20210610,9999,9999,9.4,1.43,6.5105,9999,7.0398,9999,0.1203,0.1223,0.0818,1.1573,1.1916,2.971,79.62,34.32,9999,238.24,9999,0.12,0.1273,0.0864,0.0565,0.0602,0.0417,0.6116,38.29,16.87,9999,179.2,9999.0000,9999,nothing
116,20210608,1.05,1.05,7.22,1.08,5.4175,7.0863,2.0049,0.9963,0.109,0.0903,0.0936,0.6688,0.6454,5.2954,41.06,13.08,71.88,9999,5.24,0.1136,0.0942,0.0985,0.0521,0.043,0.0435,0.3086,21.84,6.32,27.08,9999,4519.13,246.87,"FW_10LNSC: se escribió mal la fecha en el sobre (20210607, en vez de 20210608)"
118,20210518,1.4,1.16,8.41,1.39,6.9075,10.4345,2.0909,1.4818,0.1798,0.1465,0.1164,1.0702,1.1241,3.1003,63.24,26.4,9999,228.26,9999,0.1853,0.157,0.1178,0.0818,0.0675,0.0533,0.5236,30.12,11.93,9999,161.66,9999.0000,9999,nothing
119,20210525,9999,9999,9.82,1.4,7.0865,18.0146,3.5763,9999,0.1546,0.1661,0.128,0.8874,0.8364,0.621,85.21,26.11,9999,278.88,9999,0.1566,0.1737,0.1313,0.0758,0.0803,0.0633,0.3386,37.88,12.07,9999,196.33,9999.0000,9999,nothing
120,20210525,9999,9999,10.17,1.4,6.91,14.1597,2.7044,9999,0.1427,0.1225,0.1147,0.6494,0.9486,5.5782,59.99,28.83,9999,252.66,9999,0.1488,0.1256,0.1199,0.0674,0.0588,0.0537,0.4228,27.31,12.81,9999,178.09,9999.0000,9999,nothing
